Administrative Unit,Background Characteristic,Units,2019
Kenya,Total Population,Number,47564296
Kenya,Male,Number,23548056
Kenya,Female,Number,24014716
Kenya,Intersex,Number,1524
Kenya,Total Households,Number,12143913
Kenya,Conventional,Number,12043016
Kenya,Group Quarters,Number,100897
Kenya,Land Area,sq. km,580895
Kenya,Density,persons per sq. km,82
Mombasa,Total Population,Number,1208333
Mombasa,Male,Number,610257
Mombasa,Female,Number,598046
Mombasa,Intersex,Number,30
Mombasa,Total Households,Number,378422
Mombasa,Conventional,Number,376295
Mombasa,Group Quarters,Number,2127
Mombasa,Land Area,sq. km,220
Mombasa,Density,persons per sq. km,5495
Kwale,Total Population,Number,866820
Kwale,Male,Number,425121
Kwale,Female,Number,441681
Kwale,Intersex,Number,18
Kwale,Total Households,Number,173176
Kwale,Conventional,Number,172802
Kwale,Group Quarters,Number,374
Kwale,Land Area,sq. km,8254
Kwale,Density,persons per sq. km,105
Kilifi,Total Population,Number,1453787
Kilifi,Male,Number,704089
Kilifi,Female,Number,749673
Kilifi,Intersex,Number,25
Kilifi,Total Households,Number,298472
Kilifi,Conventional,Number,297990
Kilifi,Group Quarters,Number,482
Kilifi,Land Area,sq. km,12553
Kilifi,Density,persons per sq. km,116
Tana River,Total Population,Number,315943
Tana River,Male,Number,158550
Tana River,Female,Number,157391
Tana River,Intersex,Number,2
Tana River,Total Households,Number,68242
Tana River,Conventional,Number,66984
Tana River,Group Quarters,Number,1258
Tana River,Land Area,sq. km,37904
Tana River,Density,persons per sq. km,8
Lamu,Total Population,Number,143920
Lamu,Male,Number,76103
Lamu,Female,Number,67813
Lamu,Intersex,Number,4
Lamu,Total Households,Number,37963
Lamu,Conventional,Number,34231
Lamu,Group Quarters,Number,3732
Lamu,Land Area,sq. km,6283
Lamu,Density,persons per sq. km,23
Taita Taveta,Total Population,Number,340671
Taita Taveta,Male,Number,173337
Taita Taveta,Female,Number,167327
Taita Taveta,Intersex,Number,7
Taita Taveta,Total Households,Number,96429
Taita Taveta,Conventional,Number,94468
Taita Taveta,Group Quarters,Number,1961
Taita Taveta,Land Area,sq. km,17152
Taita Taveta,Density,persons per sq. km,20
Garissa,Total Population,Number,841353
Garissa,Male,Number,458975
Garissa,Female,Number,382344
Garissa,Intersex,Number,34
Garissa,Total Households,Number,141394
Garissa,Conventional,Number,138940
Garissa,Group Quarters,Number,2454
Garissa,Land Area,sq. km,44753
Garissa,Density,persons per sq. km,19
Wajir,Total Population,Number,781263
Wajir,Male,Number,415374
Wajir,Female,Number,365840
Wajir,Intersex,Number,49
Wajir,Total Households,Number,127932
Wajir,Conventional,Number,126878
Wajir,Group Quarters,Number,1054
Wajir,Land Area,sq. km,56774
Wajir,Density,persons per sq. km,14
Mandera,Total Population,Number,867457
Mandera,Male,Number,434976
Mandera,Female,Number,432444
Mandera,Intersex,Number,37
Mandera,Total Households,Number,125763
Mandera,Conventional,Number,123954
Mandera,Group Quarters,Number,1809
Mandera,Land Area,sq. km,25942
Mandera,Density,persons per sq. km,33
Marsabit,Total Population,Number,459785
Marsabit,Male,Number,243548
Marsabit,Female,Number,216219
Marsabit,Intersex,Number,18
Marsabit,Total Households,Number,77495
Marsabit,Conventional,Number,76689
Marsabit,Group Quarters,Number,806
Marsabit,Land Area,sq. km,70944
