Expenditure,Health Services,Units,2017,2018,2019,2020,2021,2022,2023,2024
TOTAL OUTLAYS,TOTAL OUTLAYS,,2576065,2944798.04,2999607.35,2731663.75,2989647.48,3147132,3982993,
TOTAL,TOTAL,,61841.3,76684,104158.8,90800.3,88189.3,88131.6,161846.8,
Recurrent,Sub-Total,,28635.3,42472.1,61387.6,40823.4,40150.5,43035.1,59581.4,62956.8
Recurrent,Outpatient services,,804.9,2650,2633.7,234.5,207.8,115.3,399.7,1945.4
Recurrent,Hospital services,,13618.6,22952.4,27496.3,22267,23204.7,25043.9,27691.3,22177.4
Recurrent,Public health services,,7735.6,9897.8,12740,3987.9,2114.4,2683.9,16106.8,20783
Recurrent,Health expenditure n.e.c,,6476.3,6971.9,18517.6,14334,14623.6,15191.9,15383.6,18051
Development,Sub-Total,,33206,34211.9,42771.1,49976.9,48038.8,45096.5,47934.3,59010.6
Development,Outpatient services,,8368.2,9364,6681.2,7189.7,8615.9,10760.8,2970,8566
Development,Hospital services,,503.1,487.2,2349.7,1728.9,1963.7,1863.8,2902.5,3080.2
Development,Public health services,,23067.2,23993.1,32233.2,37259.3,28650,27231.8,27573.6,44695.5
Development,Health expenditure n.e.c,,1267.5,367.6,1507,3799,8809.2,5240.2,14488.2,2669
