Professional by Cadre,Indicator,Units,2017,2018,2019,2020,2021
Medical Practioners and Dentists,Number,Number,12133,12904,13378,14136,14772
Medical Officers,Number,Number,10922,11647,12090,12792,13376
Medical Officers,"Number Per 100,000 Population",Rate,24.1,25.1,25.4,26.3,27.1
Dentists,Number,Number,1211,1257,1288,1344,1396
Dentists,"Number Per 100,000 Population",Rate,2.7,2.7,2.7,2.8,2.8
Pharmacists and Pharmatechs,Number,Number,12731,13638,14640,15498,16321
Pharmacists,Number,Number,3373,3512,3825,4069,4285
Pharmacists,"Number Per 100,000 Population",Rate,7.4,7.6,8,8.4,8.7
Pharmaceutical Technologists,Number,Number,9358,10126,10815,11429,12036
Pharmaceutical Technologists,"Number Per 100,000 Population",Rate,20.6,21.8,22.7,23.5,24.4
Nurses,Number,Number,79307,87308,94311,109659,124766
Graduate Nurses,Number,Number,4819,5961,7242,7959,9112
Graduate Nurses,"Number Per 100,000 Population",Rate,10.6,12.8,15.2,16.3,18.5
Registered Nurses,Number,Number,51420,57564,58247,63580,76878
Registered Nurses,"Number Per 100,000 Population",Rate,113.2,123.9,122.5,130.6,155.9
Enrolled Nurses,Number,Number,23068,23783,28822,38120,38776
Enrolled Nurses,"Number Per 100,000 Population",Rate,50.8,51.2,60.6,78.3,78.6
Clinical Officers,Number,Number,18681,20644,21739,23645,25377
Graduate Clinical Officers,Number,Number,285,428,608,715,896
Graduate Clinical Officers,"Number Per 100,000 Population",Rate,0.6,0.9,1.3,1.5,1.8
Diploma Clinical Officers,Number,Number,18396,20216,21131,22930,24481
Diploma Clinical Officers,"Number Per 100,000 Population",Rate,40.5,43.5,44.4,47.1,49.7
Public Health Officers and Technicians,Number,Number,3781,4535,5718,7438,8551
Public Health Officers,Number,Number,3064,3506,4390,5824,6887
Public Health Officers,"Number Per 100,000 Population",Rate,6.7,7.5,9.2,12,14
Public Health Technicians,Number,Number,717,1029,1328,1614,1664
Public Health Technicians,"Number Per 100,000 Population",Rate,1.6,2.2,2.8,3.3,3.4
Medical Laboratory Techs,Number,Number,13665,15289,17030,18198,19795
Laboratory Technologists,Number,Number,10603,11687,13144,14219,15635
Laboratory Technologists,"Number Per 100,000 Population",Rate,23.3,25.1,27.6,29.2,31.7
Laboratory Technicians,Number,Number,3062,3602,3886,3979,4160
Laboratory Technicians,"Number Per 100,000 Population",Rate,6.7,7.8,8.2,8.2,8.4
Nutritionists and Dieticians,Number,Number,5847,8309,9773,10521,11621
Nutritionists and Dieticians,Number,Number,2106,3066,3570,3795,4235
Nutritionists and Dieticians,"Number Per 100,000 Population",Rate,4.6,6.6,7.5,7.8,8.6
Nutrition and Dietetic Technologists,Number,Number,3122,4430,5282,5775,6340
Nutrition and Dietetic Technologists,"Number Per 100,000 Population",Rate,6.9,9.5,11.1,11.9,12.9
Nutrition and Dietetic Technicians,Number,Number,619,813,921,951,1046
Nutrition and Dietetic Technicians,"Number Per 100,000 Population",Rate,1.4,1.7,1.9,2,2.1
Physiotherapists,Number,Number,,1047,1405,1817,2022
Physiotherapists (Diploma),Number,Number,,846,1147,1521,1687
Physiotherapists (Diploma),"Number Per 100,000 Population",Rate,,1.8,2.4,3.1,3.4
Physiotherapists (Degree),Number,Number,,201,258,296,335
Physiotherapists (Degree),"Number Per 100,000 Population",Rate,,0.4,0.5,0.6,0.7
