county_clean,County,Total_Budget,Health_Total,Health_Recurrent,Health_Development,health_share,population_2019,crude_death_rate_per_1_000_population,infant_mortality_rate,maternal_mortality_rate,under_5_mortality_rate,live_births,maternal_deaths,neonatal_deaths,still_births,health_spend_per_capita,maternal_death_rate,spend_norm,infant_mortality_norm,maternal_mortality_norm,under5_mortality_norm,infant_score,maternal_score,under5_score,outcome_score,cost_efficiency,efficiency_score,efficiency_rank,prediction
nairobi city,Nairobi City,32310240815,6924938618,6301646802,623291816,0.2143264315995164,4397073,9.2,35.7,326,57.7,129097.33333333333,150.33333333333334,1978,2463.6666666666665,1574.8973505784415,3.418941039489982,0.0039856469381568125,0.3687374749498998,0.45121951219512196,0.37578814627994955,0.6312625250501003,0.5487804878048781,0.6242118537200505,0.6014182888583429,43.00253620856846,100,1,1
bomet,Bomet,7116909002,1464348401,1085589252,378759149,0.20575623498747667,901777,12.9,33.2,554,50.5,17586,14.666666666666666,113,406.6666666666667,1623.847582051882,1.626418356940426,0.011024018333965664,0.3186372745490982,0.8484320557491289,0.2849936948297604,0.6813627254509018,0.15156794425087106,0.7150063051702396,0.5159789916240042,24.542358336436884,56.480199648596276,2,1
uasin gishu,Uasin Gishu,9007239941,2104476595,1789257710,315218885,0.23364278167173563,1163186,11.5,24.7,204,39.8,29996,30.333333333333332,600.6666666666666,490.3333333333333,1809.234804235952,2.607780125735122,0.03768015626207318,0.1482965931863727,0.23867595818815332,0.15006305170239592,0.8517034068136273,0.7613240418118467,0.849936948297604,0.8209881323076926,17.21865439775711,39.21459498043661,3,1
migori,Migori,8540007356,1960058055,1520858055,439200000,0.2295147970362006,1266860,12.3,67.2,412,107.2,37653,39,176.33333333333334,513.6666666666666,1547.1781057101812,3.078477495540154,0,1,0.6010452961672473,1,0,0.39895470383275267,0,0.13298490127758422,13.298490127758422,29.972822362817205,4,1
kiambu,Kiambu,13101258545,4758735909,2836752920,1921982989,0.3632273870983286,2417735,8.8,19.3,171,31.2,67095,51,829.6666666666666,1178.6666666666667,1968.2619927328678,2.1094123218632315,0.06054608316335666,0.04008016032064128,0.18118466898954705,0.0416141235813367,0.9599198396793587,0.8188153310104529,0.9583858764186634,0.9123736823694917,12.93301685164855,29.11122048009176,5,1
bungoma,Bungoma,11213060757,3127885081,2947853461,180031620,0.2789501589962713,1670570,10.2,30.5,238,49.2,46434.666666666664,33.666666666666664,478.6666666666667,690,1872.3460142346623,2.0152802137394223,0.04675468199645759,0.2645290581162324,0.2979094076655052,0.2686002522068096,0.7354709418837676,0.7020905923344948,0.7313997477931904,0.7229870940038176,12.738809708227132,28.653377865190638,6,1
busia,Busia,7026121806,1713638895,1394193157,319445738,0.2438954151829004,893681,9.2,40.9,273,65.9,19581.666666666668,17.666666666666668,185,450.6666666666667,1917.5062410412663,1.9768425944678993,0.05324810274271706,0.47294589178356705,0.3588850174216028,0.4791929382093317,0.527054108216433,0.6411149825783973,0.5208070617906684,0.5629920508618328,8.901327098331985,19.606526952299816,7,1
meru,Meru,10260317505,3146274398,2750226898,396047500,0.30664493535085785,1545714,8.2,33.4,291,53.9,30368.333333333332,30.666666666666668,352.3333333333333,621.6666666666666,2035.4828888138427,1.983980650150459,0.07021152534688714,0.32264529058116226,0.3902439024390244,0.32786885245901637,0.6773547094188377,0.6097560975609756,0.6721311475409837,0.6530806515069324,8.141980203999166,17.816369486443996,8,1
nandi,Nandi,8046964890,1939050605,1575050605,364000000,0.2409667037828967,885711,12.8,26.4,264,42.6,15234,7.333333333333333,99.66666666666667,337.6666666666667,2189.2588045084685,0.8279600607120531,0.09232239129808541,0.18236472945891777,0.343205574912892,0.1853720050441362,0.8176352705410822,0.6567944250871081,0.8146279949558638,0.7630192301946847,7.457011319954969,16.201557901907233,9,1
narok,Narok,9472053231,2261922134,2012255615,249666519,0.23879955895910865,1157873,14.1,37.2,522,57,19418.666666666668,14,117.66666666666667,661.3333333333334,1953.5148794384186,1.2091136074509035,0.05842565069024932,0.39879759519038077,0.7926829268292683,0.36696090794451447,0.6012024048096192,0.20731707317073167,0.6330390920554856,0.4805195233452788,7.02250571968259,15.177212572929246,10,1
